01.00.00 МАТЕМАТИКА И МЕХАНИКА
19.04.05 Высокотехнологичные производства пищевых продуктов функционального и специализированного назначения
20.00.00 ТЕХНОСФЕРНАЯ БЕЗОПАСНОСТЬ И ПРИРОДООБУСТРОЙСТВО
20.04.01 Техносферная безопасность
20.04.02 Природообустройство и водопользование
21.00.00 ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ
21.04.01 Нефтегазовое дело
21.04.02 Землеустройство и кадастры
21.04.03 Геодезия и дистанционное зондирование
22.00.00 ТЕХНОЛОГИИ МАТЕРИАЛОВ
22.04.01 Материаловедение и технологии материалов
22.04.02 Металлургия
23.00.00 ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА
23.04.01 Технология транспортных процессов
23.04.02 Наземные транспортно-технологические комплексы
23.04.03 Эксплуатация транспортно-технологических машин и комплексов
24.00.00 АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА
24.04.01 Ракетные комплексы и космонавтика
24.04.02 Системы управления движением и навигация
24.04.03 Баллистика и гидроаэродинамика
24.04.04 Авиастроение
24.04.05 Двигатели летательных аппаратов
25.00.00 АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ
25.04.01 Техническая эксплуатация летательных аппаратов и двигателей
25.04.02 Техническая эксплуатация авиационных электросистем и пилотажно-навигационных комплексов
25.04.03 Аэронавигация
25.04.04 Эксплуатация аэропортов и обеспечение полетов воздушных судов
26.00.00 ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА
26.04.01 Управление водным транспортом и гидрографическое обеспечение судоходства
26.04.02 Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры
27.00.00 УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ
27.04.01 Стандартизация и метрология
27.04.02 Управление качеством
27.04.03 Системный анализ и управление
27.04.04 Управление в технических системах
27.04.05 Инноватика
27.04.06 Организация и управление наукоемкими производствами
27.04.07 Наукоемкие технологии и экономика инноваций
27.04.08 Управление интеллектуальной собственностью
28.00.00 НАНОТЕХНОЛОГИИ И НАНОМАТЕРИАЛЫ
28.04.01 Нанотехнологии и микросистемная техника
28.04.02 Наноинженерия
28.04.03 Наноматериалы
28.04.04 Наносистемы и наноматериалы
29.00.00 ТЕХНОЛОГИИ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ
29.04.01 Технология изделий легкой промышленности
29.04.02 Технологии и проектирование текстильных изделий
29.04.03 Технология полиграфического и упаковочного производства
29.04.04 Технология художественной обработки материалов
29.04.05 Конструирование изделий легкой промышленности
32.00.00 НАУКИ О ЗДОРОВЬЕ И ПРОФИЛАКТИЧЕСКАЯ МЕДИЦИНА
32.04.01 Общественное здравоохранение
35.00.00 СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО
35.04.01 Лесное дело
35.04.02 Технология лесозаготовительных и деревоперерабатывающих производств
35.04.03 Агрохимия и агропочвоведение
35.04.04 Агрономия
35.04.05 Садоводство
35.04.06 Агроинженерия
35.04.07 Водные биоресурсы и аквакультура
35.04.08 Промышленное рыболовство
35.04.09 Ландшафтная архитектура
36.00.00 ВЕТЕРИНАРИЯ И ЗООТЕХНИЯ
36.04.01 Ветеринарно-санитарная экспертиза
36.04.02 Зоотехния
37.00.00 ПСИХОЛОГИЧЕСКИЕ НАУКИ
37.04.01 Психология
37.04.02 Конфликтология
38.00.00 ЭКОНОМИКА И УПРАВЛЕНИЕ
38.04.01 Экономика
38.04.02 Менеджмент
38.04.03 Управление персоналом
38.04.04 Государственное и муниципальное управление
38.04.05 Бизнес-информатика
38.04.06 Торговое дело
38.04.07 Товароведение
38.04.08 Финансы и кредит
38.04.09 Государственный аудит
38.04.10 Жилищное хозяйство и коммунальная инфраструктура
39.00.00 СОЦИОЛОГИЯ И СОЦИАЛЬНАЯ РАБОТА
39.04.01 Социология
39.04.02 Социальная работа
39.04.03 Организация работы с молодежью
40.00.00 ЮРИСПРУДЕНЦИЯ
40.04.01 Юриспруденция
41.00.00 ПОЛИТИЧЕСКИЕ НАУКИ И РЕГИОНОВЕДЕНИЕ
41.04.01 Зарубежное регионоведение
41.04.02 Регионоведение России
41.04.03 Востоковедение и африканистика
41.04.04 Политология
41.04.05 Международные отношения
42.00.00 СРЕДСТВА МАССОВОЙ ИНФОРМАЦИИ И ИНФОРМАЦИОННО-БИБЛИОТЕЧНОЕ ДЕЛО
42.04.01 Реклама и связи с общественностью
42.04.02 Журналистика
42.04.03 Издательское дело
42.04.04 Телевидение
42.04.05 Медиакоммуникации
43.00.00 СЕРВИС И ТУРИЗМ
43.04.01 Сервис
43.04.02 Туризм
43.04.03 Гостиничное дело
44.00.00 ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ
44.04.01 Педагогическое образование
44.04.02 Психолого-педагогическое образование
44.04.03 Специальное (дефектологическое) образование
44.04.04 Профессиональное обучение (по отраслям)
45.00.00 ЯЗЫКОЗНАНИЕ И ЛИТЕРАТУРОВЕДЕНИЕ
45.04.01 Филология
45.04.02 Лингвистика
45.04.03 Фундаментальная и прикладная лингвистика
45.04.04 Интеллектуальные системы в гуманитарной среде
46.00.00 ИСТОРИЯ И АРХЕОЛОГИЯ
46.04.01 История
46.04.02 Документоведение и архивоведение
46.04.03 Антропология и этнология
47.00.00 ФИЛОСОФИЯ, ЭТИКА И РЕЛИГИОВЕДЕНИЕ
47.04.01 Философия
47.04.02 Прикладная этика
47.04.03 Религиоведение
48.00.00 ТЕОЛОГИЯ
48.04.01 Теология
49.00.00 ФИЗИЧЕСКАЯ КУЛЬТУРА И СПОРТ
49.04.01 Физическая культура
49.04.02 Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура)
49.04.03 Спорт
50.00.00 ИСКУССТВОЗНАНИЕ
50.04.01 Искусства и гуманитарные науки
50.04.02 Изящные искусства
50.04.03 История искусств
50.04.04 Теория и история искусств
51.00.00 КУЛЬТУРОВЕДЕНИЕ И СОЦИОКУЛЬТУРНЫЕ ПРОЕКТЫ
51.04.01 Культурология
51.04.02 Народная художественная культура
51.04.03 Социально-культурная деятельность
51.04.04 Музеология и охрана объектов культурного и природного наследия
51.04.05 Режиссура театрализованных представлений и
51.04.06 Библиотечно-информационная деятельность
52.00.00 СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО
52.04.01 Хореографическое искусство
52.04.02 Драматургия
52.04.03 Театральное искусство
53.00.00 МУЗЫКАЛЬНОЕ ИСКУССТВО
53.04.01 Музыкально-инструментальное искусство
53.04.02 Вокальное искусство
53.04.03 Искусство народного пения
53.04.04 Дирижирование
53.04.05 Искусство
53.04.06 Музыкознание и музыкально-прикладное искусство
54.00.00 ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ
54.04.01 Дизайн
54.04.02 Декоративно-прикладное искусство и народные промыслы
54.04.03 Искусство костюма и текстиля
54.04.04 Реставрация
56.00.00 Военное управление
56.04.01 Национальная безопасность и оборона государства
56.04.02 Управление воинскими частями и соединениями
56.04.03 Управление боевым обеспечением войск (сил)
56.04.04 Управление техническим обеспечением войск (сил)
56.04.05 Управление информационной безопасностью органов управления систем и комплексов военного назначения
56.04.06 Управление производством и развитием вооружения и военной техники
56.04.07 Управление использованием атомной энергии и обеспечением ядерной безопасности в области ядерных установок военного назначения
56.04.08 Управление тыловым обеспечением войск (сил)
56.04.09 Организация морально-психологического обеспечения
56.04.10 Управление финансовым обеспечением Вооруженных Сил Российской Федерации
56.04.11 Управление медицинским обеспечением войск (сил)
56.04.12 Военное и административное управление
57.00.00 Обеспечение государственной безопасности
57.04.01 Государственное управление в пограничной сфере
