name,surname,priority
Флегонт,Флегонтович,13
Фока,Фокич,1
Фома,Фомич,208
Фотий,Фотиевич,0
Фридрих,Фридрихович,163
Фрол,Фролович,200
Харитон,Харитонович,196
Харитоний,Харитониевич,0
Харлам,Харламович,0
Харламп,Харлампович,0
Харлампий,Харлампиевич,114
Хрисанф,Хрисанфович,0
Христофор,Христофорович,145
Эдуард,Эдуардович,306
Эмилий,Эмилиевич,0
Эммануил,Эммануилович,0
Эрнест,Эрнестович,0
Юлиан,Юлианович,189
Юлий,Юлиевич,203
Юрий,Юрьевич,338
Яким,Якимович,0
Яков,Яковлевич,302
Ярослав,Ярославович,303
